time,emg
1742842578.8685734,929
1742842578.8696117,932
1742842578.8706632,932
1742842578.8717153,931
1742842578.872768,932
1742842578.8738234,930
1742842578.874875,935
1742842578.8759334,932
1742842578.8769815,934
1742842578.8780353,933
1742842578.8790874,932
1742842578.88014,933
1742842578.881193,932
1742842578.8822467,933
1742842578.8832998,932
1742842578.8843544,933
1742842578.8854055,931
1742842578.8864596,933
1742842578.8875115,933
1742842578.888564,933
1742842578.8896174,932
1742842578.8906705,932
1742842578.891723,933
1742842578.8927758,931
1742842578.8938305,932
1742842578.8948843,931
1742842578.8959372,932
1742842578.8969905,932
1742842578.8980408,930
1742842578.8990963,932
1742842578.900149,932
1742842578.9012017,931
1742842578.9022558,931
1742842578.9033086,932
1742842578.9043615,932
1742842578.9054148,931
1742842578.9064682,932
1742842578.9075208,933
1742842578.9085739,933
1742842578.9096274,932
1742842578.9106808,932
1742842578.9117339,932
1742842578.912787,932
1742842578.9138415,932
1742842578.9148946,932
1742842578.9159472,932
1742842578.9170005,931
1742842578.9180543,932
1742842578.9191196,932
1742842578.9201682,932
1742842578.9212208,933
1742842578.922275,933
1742842578.923331,934
1742842578.9243848,931
1742842578.9254367,932
1742842578.9264889,932
1742842578.927543,933
1742842578.9285955,933
1742842578.929649,933
1742842578.9307024,933
1742842578.931756,934
1742842578.9328105,933
1742842578.9338627,932
1742842578.934917,934
1742842578.9359698,931
1742842578.9370227,932
1742842578.9380755,931
1742842578.9391253,929
1742842578.9401813,931
1742842578.941234,932
1742842578.9422882,932
1742842578.9433432,934
1742842578.944399,932
1742842578.9454575,933
1742842578.946505,932
1742842578.9475589,931
1742842578.9486113,932
1742842578.9496653,932
1742842578.950721,930
1742842578.9517725,932
1742842578.9528248,931
1742842578.9538832,932
1742842578.9549382,931
1742842578.955991,931
1742842578.9570484,931
1742842578.958104,934
1742842578.959157,931
1742842578.960211,932
1742842578.9612682,932
1742842578.9623196,933
1742842578.9633694,932
1742842578.9644222,932
1742842578.9654763,931
1742842578.9665267,931
1742842578.9675786,931
1742842578.9686944,934
1742842578.969708,932
1742842578.9707596,932
1742842578.971806,932
1742842578.9728599,931
1742842578.9739172,931
1742842578.9749742,932
1742842578.9760308,933
1742842578.9770849,932
1742842578.978142,931
1742842578.9791977,931
1742842578.9802532,932
1742842578.981309,932
1742842578.982359,932
1742842578.983414,931
1742842578.9844656,931
1742842578.9855235,930
1742842578.9865813,924
1742842578.9876332,906
1742842578.9886847,888
1742842578.9897125,879
1742842578.9909158,852
1742842578.9919562,841
1742842578.9930077,832
1742842578.9942377,820
1742842578.9952946,803
1742842578.9963417,790
1742842578.9973948,779
1742842578.9984543,765
1742842578.999503,751
1742842579.0005717,742
1742842579.001617,726
1742842579.002674,713
1742842579.0037243,699
1742842579.0047767,685
1742842579.0058298,671
1742842579.006888,658
1742842579.0079386,643
1742842579.008991,630
1742842579.010044,616
1742842579.0111027,604
1742842579.012153,591
1742842579.0132053,578
1742842579.0142736,567
1742842579.0153263,556
1742842579.0163765,544
1742842579.0174303,532
1742842579.0185065,523
1742842579.0195177,512
1742842579.020943,503
1742842579.0220544,496
1742842579.0230982,482
1742842579.0241485,472
1742842579.0252016,463
1742842579.0262554,454
1742842579.0273142,444
1742842579.028365,435
1742842579.0294182,426
1742842579.0304708,417
1742842579.03153,408
1742842579.0325806,400
1742842579.033634,392
1742842579.034687,384
1742842579.0357463,376
1742842579.0367966,368
1742842579.0378504,361
1742842579.0389035,353
1742842579.0399623,347
1742842579.0410128,339
1742842579.0420663,332
1742842579.04317,326
1742842579.044181,320
1742842579.045232,313
1742842579.0462856,307
1742842579.0473368,301
1742842579.0483868,294
1742842579.0494392,288
1742842579.0504916,282
1742842579.0515501,277
1742842579.052601,272
1742842579.0536547,266
1742842579.054708,260
1742842579.0557666,256
1742842579.0568173,251
1742842579.0578701,246
1742842579.0589228,241
1742842579.0599809,237
1742842579.0610313,232
1742842579.0620844,228
1742842579.0631373,223
1742842579.0641956,219
1742842579.0652459,215
1742842579.0663,211
1742842579.0673528,207
1742842579.068413,204
1742842579.0694683,200
1742842579.0705209,196
1742842579.0715735,192
1742842579.0726342,192
1742842579.0736938,192
1742842579.074743,356
1742842579.0757954,883
1742842579.0768545,931
1742842579.0779052,932
1742842579.0789623,932
1742842579.0800142,933
1742842579.0810728,931
1742842579.082124,932
1742842579.0831769,932
1742842579.0842302,932
1742842579.0852892,932
1742842579.0863392,932
